Tabelle 1
Label	Energie (kcal/mol)
S][O]{0,1} + [O][O]{0,3} + [H][O][O]{0,2} => [H][O][O]{0,2} + [O][S][O][O]{0,3}	4.54
[H][S][O]{0,2} + [O][O]{0,3} => [H][S]{0,2} + [O][O][O]{0,1}	0.03
[H][O][H]{0,1} + [H][O][S]{0,2} => [H][O][S][O][H]{0,1} + [H]{0,2}	12.09
[H][O][O]{0,2} + [O][S]{0,1} => [O][S]([O][H])[O]{0,2}	7.00
H][O][S][O]{0,2} + [O][O]{0,3} => [H][O][S]{0,2} + [O][O][O]{0,3}	0.61
[H][O][H]{0,1} + [H][O][H]{0,1} + [H][S][O]{0,2} => [H][O][H]{0,1} + [H][O][H]{0,1} + [H][O][S]{0,1}	7.04
[H][O][S][O][H]{0,1} + [O][O]{0,3} => [O][S][O][H]{0,2} + [H][O][O]{0,2}	2.66
[H][O][H]{0,1} + [H][O][O]{0,2} => [H][O][H]{0,1} + [H][O][O]{0,2}	15.57
[H][O][O][S]([O])[O][O]{0,2} => [H][O][O]{0,2} + [O][S]1[O][O]1{0,1}	26.36
[H][O][O]{0,2} + [O][S]{0,1} => [H][O][S]{0,2} + [O][O]{0,3}	1.21
[H][O][O][S][O][O][H]{0,1} => [H][O][O][S]([H])[O][O]{0,1}	5.00
[H][O][O][O]{0,2} + [O][O]{0,1} => [H][O][O]{0,2} + [O][O][O]{0,1}	10.88
[H][O][O][S][O]{0,2} + [O][O]{0,3} => [H][O][S][O][O]{0,2} + [O][O]{0,3}	1.36
O][O][S]([O][H])[O][O]{0,2} => [O][O][S]([O])[O][O][H]{0,2}	13.51
H][O][O][O]{0,2} => [H][O][O][O]{0,2}	30.67
[O][O]{0,3} + [H][O][O][H]{0,1} => [O][O]{0,3} + [H]([H])[O][O]{0,1}	7.28
[H][O][O][O]{0,2} + [H][O]{0,2} => [H][O][O]{0,2} + [H][O][O]{0,2}	39.42
[H][O][O]{0,2} => [H]{0,2} + [O][O]{0,3}	1.64
[H][O][S]([O][H])[O][O][H]{0,2} => [H][O][O]{0,2} + [H][O][S][O][H]{0,1}	2.17
[H][O][H]{0,1} + [H][O][S][O][O]{0,2} => [H][O][H]{0,1} + [H][O][S][O][O]{0,2}	40.24
H][O][O][O][S][O][H]{0,1} => [H][O][S][O][O]{0,2} + [O][H]{0,2}	0.00
H][O]{0,2} + [O][O]{0,1} + [O][S]{0,1} => [H][O][O][O]{0,2} + [O][S]{0,1}	8.03
[H][O][O]{0,2} + [O][S]{0,3} => [H][O][S][O][O]{0,2}	2.14
[H][O][S]([O])[O]{0,2} => [H][O]{0,2} + [O][S][O]{0,1}	3.13
[O][O][O]{0,1} => [O][O]{0,3} + [O]{0,3}	0.00
[H][O][O][H]{0,1} + [H][S][O]{0,2} => [H][O][O]{0,2} + [H][O][S][H]{0,1}	13.59
[H][O][S][O]{0,2} => [H]{0,2} + [O][S][O]{0,1}	4.76
[H][O][O]{0,2} + [O][O]{0,1} => [H][O]{0,2} + [O][O][O]{0,1}	11.02
H][O][O][S][O]{0,2} => [H][O]{0,2} + [O][S][O]{0,1}	11.81
H][O][S]([O])[O]{0,2} + [O][O]{0,3} => [O][S][O]{0,1} + [H][O]{0,2} + [O][O]{0,3}	4.00
H][O][O][S]([O])[O][O]{0,2} => [H][O][O][S][O]{0,2} + [O][O]{0,3}	3.80
[H][O][S][O]{0,2} + [H][O][O]{0,2} + [H][O][O]{0,2} => [H][O][S][O]{0,2} + [H][O][O][O][O][H]{0,1}	4.80
[H][O][O][O][O][S][O]{0,2} => [O][S][O]{0,1} + [H][O][O][O]{0,2}	3.29
[H][O][H]{0,1} + [H][O][S][H]{0,1} => [H][O]{0,2} + [H][O]{0,2} + [H][S][H]{0,1}	18.34
[H][O][H]{0,1} + [H][O][O]{0,2} + [H][O][S][O][H]{0,1} => [H][O][H]{0,1} + [H][O][H]{0,1} + [H][O][S]{0,2} + [O][O]{0,3}	35.00
[H][O][O][S]([O])[O][O]{0,2} => [H][O][O][S][O]{0,2} + [O][O]{0,1}	3.79
H][O]([H])[S]{0,1} + [O][O]{0,1} => [H][O][O]{0,2} + [H][O][S]{0,2}	6.13
[H][O][O]{0,2} + [O][S][O]{0,1} => [H][O][O][S]([O])[O]{0,2}	2.77
[H][O]([H])[S]{0,1} => [H][O][S]{0,2} + [H]{0,2}	0.00
[H][O][O][O][H]{0,1} + [H][O][S][O][O]{0,2} => [H][O][O][O]{0,2} + [H][O][O][S][O][H]{0,1}	12.26
[H][O][O][S][O][O]{0,2} => [H][O][O][S][O][O]{0,2}	23.04
[H][O][O][O][H]{0,1} + [H][O][S]{0,2} => [H][O][O][S][O][H]{0,1} + [H][O]{0,2}	31.05
H][O]{0,2} + [H][O]{0,2} + [O][O]{0,3} => [H][O][O][O]{0,2} + [H][O]{0,2}	7.85
[H][O][O]{0,2} + [O][O]{0,1} + [O][S]{0,3} => [H][O][O]{0,2} + [O][S][O][O]{0,1}	6.51
[H][O]{0,2} + [O][O]{0,3} + [H][O][S][H]{0,1} => [H][O][O][O]{0,2} + [H][O][S][H]{0,1}	6.03
[O][O][O][O][S][O]{0,3} => [O]{0,3} + [O][O]{0,3} + [O][S][O]{0,1}	10.14
H][O][H]{0,1} + [H][O][O][S][O]{0,2} => [H][O][H]{0,1} + [H][O][O][S][O]{0,2}	45.08
[H][O]([H])[S]{0,1} => [H][O][H]{0,1} + [S]{0,1}	15.02
[H][O][S]1[O][O]1{0,2} => [H][O][S][O][O]{0,2}	33.22
[O][O]{0[H][O][O]{0,2} + [O][O]{0,1} + [O][S]{0,1} => [H][O][S][O][O]{0,2} + [O][O]{0,3}	6.51
[H][O][O]{0,2} + [O][S]{0,3} => [H][O][S]{0,2} + [O][O]{0,3}	1.21
H][O][O][O][O][O][H]{0,1} => [H][O][O][O]{0,2} + [H][O][O]{0,2}	63.27
[H][O][O][O]{0,2} + [H][O][O]{0,2} + [H][O][S]{0,2} => [H][O][O][O]{0,2} + [H][O][S][H]{0,1} + [O][O]{0,3}	5.76
[H][O][H]{0,1} + [O][O]{0,1} => [H][O][O][O][H]{0,1}	53.88
[H][O]([H])[O]{0,1} => [H][O][H]{0,1} + [O]{0,3}	0.00
[H][O][O][O]{0,2} + [O][S]{0,1} => [H][O][O][S]{0,2} + [O][O]{0,1}	3.09
[H][O][H]{0,1} + [H][O][H]{0,1} + [H][O][O]{0,2} + [O][S]{0,3} => [H][O][H]{0,1} + [H][O][O]{0,2} + [H][O][S][O][H]{0,1}	0.56
[H][O][H]{0,1} + [O][O]{0,1} + [O]{0,1} => [O][O]{0,1} + [H][O]{0,2} + [H][O]{0,2}	8.48
[H][O][O][O][O][O][O][H]{0,1} + [H][S]{0,2} => [H][O][O][O]{0,2} + [H][O][O][O]{0,2} + [H][S]{0,2}	11.50
[H][O][O]{0,2} + [O][S][O][O]{0,1} => [H][O][O]{0,2} + [O][O]{0,1} + [O][S]{0,3}	3.96
[H][O][O]{0,2} + [O][S][O][O]{0,1} => [H][O][O]{0,2} + [O][O]{0,1} + [O][S]{0,3}	4.53
[H][O][H]{0,1} + [O][S]{0,1} => [H][O][S]([H])[O]{0,1}	42.12
[H][O][O][S]([O])[O][H]{0,1} => [O][S][O]{0,1} + [H][O][O][H]{0,1}	25.52
[H][O][O][S][O]{0,2} => [H][O][O]{0,2} + [O][S]{0,1}	4.89
[H][O]([H])[H]{0,2} + [O][S]{0,1} => [H][O][H]{0,1} + [H][S][O]{0,2}	0.00
